N	T[ms]	dev[ms]	Samples
300	21.75	0.966546	20
600	38.75	0.786398	20
900	57	5.92053	20
1200	75.1	2.40394	20
1500	92	2.02614	20
1800	107	1.1239	20
2100	126.4	3.92562	20
2400	142.65	1.89945	20
2700	186.9	60.6369	20
3000	176.25	3.17681	20
