N	T[ms]	dev[ms]	Samples
300	966.75	8.56477	20
600	2037.9	36.3114	20
900	3272.45	198.918	20
1200	4421.8	181.47	20
1500	5768.5	305.07	20
1800	7073.55	460.945	20
2100	8767.2	629.145	20
2400	10263	365.363	20
2700	12199.9	1815.14	20
3000	13252.4	655.917	20
