N	T[ms]	dev[ms]	Samples
300	1459.45	72.3213	20
600	2954.75	136.178	20
900	4433.9	160.983	20
1200	6030.2	293.668	20
1500	7552.15	227.591	20
1800	9174.65	691.989	20
2100	10880.4	913.363	20
2400	13449.1	1930.14	20
2700	15117.4	1660.95	20
3000	15499.2	1656.15	20
