N	T[ms]	dev[ms]	Samples
300	1510.4	113.894	20
600	3254.35	296.744	20
900	4472.65	222.417	20
1200	6223.3	551.536	20
1500	8039.15	826.402	20
1800	9505.05	689.403	20
2100	11747.9	1248.87	20
2400	13111.7	3170.88	20
2700	13451.8	622.967	20
3000	14741.4	251.362	20
