N	T[ms]	dev[ms]	Samples
300	27.56	3.00378	10
600	49.77	0.336815	10
900	73.53	0.71655	10
1200	96.45	0.662067	10
1500	124.42	12.8404	10
1800	148.59	10.7284	10
2100	166.99	1.28361	10
2400	201.57	23.2227	10
2700	223.46	15.8572	10
3000	272.19	36.5089	10
