N	T[ms]	dev[ms]	Samples
300	232.84	4.39196	10
600	502.16	0.991295	10
900	763.36	8.12489	10
1200	1148.57	5.9874	10
1500	1459.27	20.8968	10
1800	1807.97	25.1137	10
2100	2080.59	17.8747	10
2400	2514.66	43.2845	10
2700	2949.6	62.3739	10
3000	3093.68	31.7882	10
