N	T[ms]	dev[ms]	Samples
300	134.69	3.882	10
600	279.39	4.39152	10
900	421.18	4.57014	10
1200	608.02	6.1313	10
1500	774.79	8.19735	10
1800	962.62	13.699	10
2100	1116.68	33.2951	10
2400	1326.84	5.17069	10
2700	1558.12	67.439	10
3000	1788.86	113.021	10
