N	T[ms]	dev[ms]	Samples
300	99	3.55965	10
600	222.3	1.25521	10
900	333.66	5.3171	10
1200	505.19	14.3496	10
1500	630.74	16.2486	10
1800	750.25	11.2882	10
2100	877.8	20.0261	10
2400	1118.82	41.1097	10
2700	1249.24	15.685	10
3000	1389.31	12.3973	10
