N	T[ms]	dev[ms]	Samples
3000	46.53	2.19356	20
6000	93.765	4.16505	20
9000	142.555	2.4633	20
12000	193.4	4.36155	20
15000	248.185	10.3157	20
18000	303.6	6.3053	20
21000	370.61	35.133	20
24000	419.44	17.2879	20
27000	479.715	25.6712	20
30000	539.535	38.8939	20
