N	T[ms]	dev[ms]	Samples
300	912.55	78.298	20
600	1769.15	60.5486	20
900	2659.55	80.0187	20
1200	3688.7	195.197	20
1500	4642.3	172.432	20
1800	5642	546.221	20
2100	6537.65	249.606	20
2400	7224.6	130.647	20
2700	8246.45	252.405	20
3000	9435.7	820.406	20
