N	T[ms]	dev[ms]	Samples
300	997.7	21.024	20
600	2082.1	21.8822	20
900	3347.55	201.21	20
1200	4624.7	246.339	20
1500	5812.35	166.301	20
1800	7172.85	251.612	20
2100	8678.25	358.571	20
2400	10053.6	119.534	20
2700	11913	545.454	20
3000	13439.5	278.048	20
