N	T[ms]	dev[ms]	Samples
200	1540.4	25.8343	20
400	4195.45	62.3281	20
600	8111.85	178.667	20
800	13327.5	506.449	20
1000	20154.7	2654.05	20
1200	26125	611.249	20
1400	34214.3	464.387	20
1600	43277.8	462.821	20
1800	53950.1	648.688	20
2000	65429.7	659.378	20
