N	T[ms]	dev[ms]	Samples
200	1575.2	64.0991	20
400	4318.55	184.406	20
600	8859.05	487.954	20
800	13316	429.008	20
1000	21621.6	3471.57	20
1200	27116.3	924.488	20
1400	34961.3	593.202	20
1600	44302.7	425.694	20
1800	55345.4	1276.06	20
2000	66575.4	985.865	20
