N	T[ms]	dev[ms]	Samples
300	1606.8	76.8187	20
600	3226.9	80.4402	20
900	5024.3	352.009	20
1200	6697	1312.62	20
1500	8063	229.249	20
1800	9511.7	159.217	20
2100	11680.3	737.788	20
2400	13127	496.175	20
2700	14858.1	882.598	20
3000	18061.3	3058.95	20
