N	T[ms]	dev[ms]	Samples
300	21.5	0.945905	20
600	38.05	0.394034	20
900	57.2	7.35992	20
1200	70.85	0.933302	20
1500	87.4	1.27321	20
1800	104.85	1.66307	20
2100	135	32.4556	20
2400	137.2	1.28145	20
2700	178.8	61.6224	20
3000	178.1	12.247	20
