N	T[ms]	dev[ms]	Samples
300	1853.61	27.8308	10
600	6232.94	57.4413	10
900	13124.7	125.599	10
1200	23186.6	1260.14	10
1500	35163.9	1191.35	10
1800	50509.1	3326.64	10
2100	65348.1	474.979	10
2400	85571.1	2473.1	10
2700	105107	1251.03	10
3000	128030	659.303	10
