N	T[ms]	dev[ms]	Samples
300	1874.89	70.6138	10
600	6250.27	65.7586	10
900	13531.7	1339.97	10
1200	22877.5	514.086	10
1500	35475.2	1852.09	10
1800	48274.4	353.285	10
2100	67260.7	3504.31	10
2400	86211.6	3554.73	10
2700	104945	529.908	10
3000	128422	608.845	10
