N	T[ms]	dev[ms]	Samples
300	2310.29	26.7755	10
600	8330.48	408.12	10
900	17933	771.224	10
1200	31706.5	3524.86	10
1500	48342.5	2432.12	10
1800	65032.9	593.925	10
2100	88953.8	1974.54	10
2400	113554	931.526	10
2700	142489	729.256	10
3000	175977	1425.44	10
