N	T[ms]	dev[ms]	Samples
300	1865.31	12.6967	10
600	6307.95	58.5783	10
900	13404	321.113	10
1200	23069.3	1124.26	10
1500	35137.7	491.23	10
1800	50351.5	1339.21	10
2100	70270.2	9186.89	10
2400	85731.1	1215.75	10
2700	107052	1146.86	10
3000	133429	1789.7	10
