N	T[ms]	dev[ms]	Samples
3000	625.595	9.00313	20
6000	2333.87	48.0113	20
9000	5418.55	529.112	20
12000	9737.42	435.851	20
15000	15454	1180.1	20
18000	22944.9	3561.88	20
21000	27999.7	2121.86	20
24000	35886.8	1114.81	20
27000	46296.9	2177.33	20
30000	55567.9	959.234	20
