N	T[ms]	dev[ms]	Samples
300	1004.45	7.40892	20
600	2169.3	20.9086	20
900	3444.45	47.5997	20
1200	4830.1	25.2834	20
1500	6634.5	559.929	20
1800	8093.25	213.317	20
2100	9783.1	63.493	20
2400	11964.2	672.478	20
2700	14234.4	626.774	20
3000	16400.7	1283.29	20
