N	T[ms]	dev[ms]	Samples
300	78.4667	293.595	15
600	244.2	666.884	15
900	506.533	1131.4	15
1200	875.867	1677.98	15
1500	1372.67	2323.94	15
1800	1933.07	2873.83	15
2100	2589	3427.31	15
2400	3489.73	4294.29	15
2700	4475.6	5016.69	15
3000	5656.33	5840.89	15
3300	6872.27	6407.77	15
3600	8152.27	6812.05	15
3900	9502.8	7065.37	15
4200	10942.1	7181.06	15
4500	12638.1	7397.29	15
