N	T[ms]	dev[ms]	Samples
3000	46.555	2.60757	20
6000	99.735	25.9004	20
9000	143.18	2.62029	20
12000	196.265	6.01999	20
15000	247.24	5.20995	20
18000	303.905	4.11716	20
21000	358.09	5.35487	20
24000	484.86	183.724	20
27000	510.095	92.7881	20
30000	553.26	52.5921	20
