N	T[ms]	dev[ms]	Samples
300	134.7	14.3127	20
600	272.1	2.31471	20
900	463.3	72.7151	20
1200	676.05	77.711	20
1500	837	82.5884	20
1800	962.65	7.60384	20
2100	1127.3	48.4193	20
2400	1342.2	12.1335	20
2700	1506.65	10.4644	20
3000	1696.3	15.8848	20

N	T[ms]	dev[ms]	Samples
300	137.15	4.01674	20
600	292.65	18.7596	20
900	427.55	4.67327	20
1200	626.1	8.12987	20
1500	791.1	8.67483	20
1800	976.4	7.0666	20
2100	1132.65	33.1349	20
2400	1349.35	10.2252	20
2700	1524.35	7.53431	20
3000	1718.65	12.9423	20
